"142";"MICH";"Michigan";"Wolverines";"#010167";"#FFCC00";"0";NULL;NULL;"Michigan.gif";"Big Ten";;"mich";"ACTIVE"
"139";"MSU";"Michigan State";"Spartans";"#006600";"#003300";"0";NULL;NULL;"MichiganState.gif";"Big Ten";;"msu";"ACTIVE"
"147";"MINN";"Minnesota";"Golden Gophers";"#9B0014";"#FFCD00";"0";NULL;NULL;"Minnesota.gif";"Big Ten";;"minn";"ACTIVE"
"89";"NW";"Northwestern";"Wildcats";"#660066";"#000000";"0";NULL;NULL;"Northwestern.gif";"Big Ten";;"nw";"ACTIVE"
"206";"OSU";"Ohio State";"Buckeyes";"#CC0000";"#CECCCC";"0";NULL;NULL;"OhioState.gif";"Big Ten";;"osu";"ACTIVE"
"225";"PSU";"Penn State";"Nittany Lions";"#13214E";"#35457C";"0";NULL;NULL;"PennState.gif";"Big Ten";;"psu";"ACTIVE"
"2521";"PUR";"Purdue";"Boilermakers";"#B39831";"#000000";"0";NULL;NULL;"Purdue.gif";"Big Ten";;"pur";"ACTIVE"
"287";"WIS";"Wisconsin";"Badgers";"#B40000";"#ffffff";"0";NULL;NULL;"Wisconsin.gif";"Big Ten";;"wis";"ACTIVE"
"163";"ECU";"East Carolina";"Pirates";"#6E1F98";"#FDEF28";"0";NULL;NULL;"EastCarolina.gif";"Conference USA";;"ecu";"ACTIVE"
"260";"HOU";"Houston";"Cougars";"#C60000";"#E8B896";"0";NULL;NULL;"Houston.gif";"Conference USA";;"hou";"ACTIVE"
"288";"MARS";"Marshall";"Thundering Herd";"#01542C";"#000000";"0";NULL;NULL;"Marshall.gif";"Conference USA";;"mars";"ACTIVE"
"247";"MEM";"Memphis";"Tigers";"#000099";"#F4A41E";"0";NULL;NULL;"Memphis.gif";"Conference USA";;"mem";"ACTIVE"
"254";"RICE";"Rice";"Owls";"#000063";"#ADADAD";"0";NULL;NULL;"Rice.gif";"Conference USA";;"rice";"ACTIVE"
"2579";"SMU";"Southern Methodist";"Mustangs";"#CE0000";"#030332";"0";NULL;NULL;"SouthernMethodist.gif";"Conference USA";;"smu";"ACTIVE"
"2584";"SMIS";"Southern Miss";"Golden Eagles";"#CE0000";"#030332";"0";NULL;NULL;"SouthernMiss.gif";"Conference USA";;"smis";"ACTIVE"
"2667";"TUL";"Tulane";"Green Wave";"#006633";"#0098CB";"0";NULL;NULL;"Tulane.gif";"Conference USA";;"tul";"ACTIVE"
"214";"TULS";"Tulsa";"Golden Hurricane";"#003366";"#FFCB00";"0";NULL;NULL;"Tulsa.gif";"Conference USA";;"tuls";"ACTIVE"
"5";"UAB";"UAB";"Blazers";"#006B42";"#EA9F13";"0";NULL;NULL;"UAB.gif";"Conference USA";;"albr";"ACTIVE"
"2128";"UCF";"UCF";"Knights";"#006B42";"#EA9F13";"0";NULL;NULL;"UCF.gif";"Conference USA";;"ucf";"ACTIVE"
