"2183";"1";"0";"H05";"1st & GOAL at GT05: LONG, Malcolm pass incomplete to WHERRY,Devin (Egbuniwe, A.).";"1";"95";"29";"2,15,29";"V";"P";"ACTIVE";
"2184";"2";"0";"H05";"2nd & GOAL at GT05: MASSEY,Chris rush for loss of 4 yards to the GT9 (Jackson, K.;Jefferson, B.).";"1";"95";"30";"2,16,30";"V";"R";"ACTIVE";
"2185";"3";"0";"H09";"3rd & GOAL at GT09: LONG, Malcolm rush for 5 yards to the GT4, PENALTY SCST illegal block 10 yards to the GT14.";"1";"95";"31";"2,17,31";"V";"R";"ACTIVE";
"2186";"3";"0";"H14";"3rd & GOAL at GT14: 3rd and 14.";"1";"95";"32";"2,18,32";"V";;"ACTIVE";
"2187";"3";"0";"H14";"3rd & GOAL at GT14: LONG, Malcolm pass complete to CHRISTIE, Richa for 3 yards to the GT11 (Reese, D.).";"1";"95";"33";"2,19,33";"V";"P";"ACTIVE";
"2188";"4";"0";"H11";"4th & GOAL at GT11: ERICKSON,Blake field goal attempt from 28 GOOD, clock 05:05.";"1";"95";"34";"2,20,34";"V";"F";"ACTIVE";
"2189";"1";"0";"V30";"1st & GOAL at SCST30: ERICKSON,Blake kickoff 32 yards to the GT38, fair catch by Watson, R..";"1";"95";"35";"2,21,35";"V";"K";"ACTIVE";
"2190";"1";"10";"H38";"1st & 10 at GT38: GEORGIA TECH drive start at 05:05.";"1";"95";"36";"3,1,36";"H";;"ACTIVE";
"2191";"1";"10";"H38";"1st & 10 at GT38: Nesbitt, J. pass incomplete to Melton, T..";"1";"95";"37";"3,2,37";"H";"P";"ACTIVE";
"2192";"2";"10";"H38";"2nd & 10 at GT38: Jones, R. rush for 7 yards to the GT45 (RICHARD,Donovan).";"1";"95";"38";"3,3,38";"H";"R";"ACTIVE";
"2193";"3";"3";"H45";"3rd & 3 at GT45: Smith, O. rush for 5 yards to the 50 yardline, 1ST DOWN GT (MCFADDEN, Marsh).";"1";"95";"39";"3,4,39";"H";"R";"ACTIVE";
"2194";"1";"10";"H50";"1st & 10 at GT50: Allen, A. rush for 9 yards to the SCST41 (WILKERSON,Juliu).";"1";"95";"40";"3,5,40";"H";"R";"ACTIVE";
"2195";"2";"1";"V41";"2nd & 1 at SCST41: Smith, O. rush for 5 yards to the SCST36, 1ST DOWN GT (LONG, Malcolm).";"1";"95";"41";"3,6,41";"H";"R";"ACTIVE";
"2196";"1";"10";"V36";"1st & 10 at SCST36: Allen, A. rush for 4 yards to the SCST32 (WILKERSON,Juliu;FERGUSON, Ron).";"1";"95";"42";"3,7,42";"H";"R";"ACTIVE";
"2197";"2";"6";"V32";"2nd & 6 at SCST32: Allen, A. rush for 3 yards to the SCST29 (WILKERSON,Juliu).";"1";"95";"43";"3,8,43";"H";"R";"ACTIVE";
"2198";"3";"3";"V29";"3rd & 3 at SCST29: PENALTY SCST Encroachment (WASHINGTON,Pat) 5 yards to the SCST24, 1ST DOWN GT.";"1";"95";"44";"3,9,44";"H";"E";"ACTIVE";
"2199";"1";"10";"V24";"1st & 10 at SCST24: Nesbitt, J. pass incomplete to Hill, S..";"1";"95";"45";"3,10,45";"H";"P";"ACTIVE";
"2200";"2";"10";"V24";"2nd & 10 at SCST24: Nesbitt, J. rush for 2 yards to the SCST22 (WILKERSON,Juliu).";"1";"95";"46";"3,11,46";"H";"R";"ACTIVE";
"2201";"3";"8";"V22";"3rd & 8 at SCST22: Nesbitt, J. rush for 16 yards to the SCST6, 1ST DOWN GT (KING, Yari).";"1";"95";"47";"3,12,47";"H";"R";"ACTIVE";
"2202";"1";"0";"V06";"1st & GOAL at SCST06: Start of 2nd quarter, clock 15:00.";"2";"95";"48";"3,13,48";"H";"#";"ACTIVE";
